row_id,testament,book,chapter,verse,reference,term_id,occurrence_index,start,end,matched,before,after,verse_text,suggestion,risk,term_note,reviewer,decision,replacement,notes
a5075447eaa9a0ef5978,NT,MAT,1,20,MAT 1:20,he_aqui,1,23,30,he aquí,"Y pensando él en esto,","el ángel del Señor le aparece en sueños, diciendo: José, hijo de Davi","Y pensando él en esto, he aquí el ángel del Señor le aparece en sueños, diciendo: José, hijo de David, no temas de recibir a María tu mujer, porque lo que en ella es engendrado, del Espíritu Santo es.",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
544b264dd6d23ba26b96,NT,MAT,1,23,MAT 1:23,he_aqui,2,0,7,He aquí,,"la virgen concebirá y parirá un hijo, y llamarás su nombre Emmanuel,","He aquí la virgen concebirá y parirá un hijo, y llamarás su nombre Emmanuel, que declarado, es: Con nosotros Dios.",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
fd3f993c0d73d22a8ff8,NT,MAT,2,1,MAT 2:1,he_aqui,3,71,78,he aquí,"como fue nacido Jesús en Bethlehem de Judea en días del rey Herodes,","unos magos vinieron del oriente a Jerusalem,","Y como fue nacido Jesús en Bethlehem de Judea en días del rey Herodes, he aquí unos magos vinieron del oriente a Jerusalem,",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
80d1a5645bee3f8c9d47,NT,MAT,2,9,MAT 2:9,he_aqui,4,44,51,he aquí,"Y ellos, habiendo oído al rey, se fueron: y","la estrella que habían visto en el oriente, iba delante de ellos, has","Y ellos, habiendo oído al rey, se fueron: y he aquí la estrella que habían visto en el oriente, iba delante de ellos, hasta que llegando, se puso sobre donde estaba el niño.",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
a4194cfb4c7291853f51,NT,MAT,2,13,MAT 2:13,he_aqui,5,18,25,he aquí,"Y partidos ellos,","el ángel del Señor aparece en sueños a José, diciendo: Levántate, y t","Y partidos ellos, he aquí el ángel del Señor aparece en sueños a José, diciendo: Levántate, y toma al niño y a su madre, y huye a Egipto, y estáte allá hasta que yo te lo diga; porque ha de acontecer, que Herodes buscará al niño para matarlo.",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
8ae5a5bcc4a6f1760024,NT,MAT,2,19,MAT 2:19,he_aqui,6,21,28,he aquí,"Pero muerto Herodes,","el ángel del Señor aparece en sueños a José en Egipto,","Pero muerto Herodes, he aquí el ángel del Señor aparece en sueños a José en Egipto,",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
9c288560f8a40f5e4cfb,NT,MAT,3,10,MAT 3:10,segur,1,21,26,segur,"Ahora, ya también la",está puesta a la raíz de los árboles; y todo árbol que no hace buen f,"Ahora, ya también la segur está puesta a la raíz de los árboles; y todo árbol que no hace buen fruto, es cortado y echado en el fuego.",hacha,medium,Termino arcaico para hacha.,,,,
e21040ba4b70b6dafcc7,NT,MAT,3,12,MAT 3:12,alfoli,1,75,81,alfolí,"entador en su mano está, y aventará su era: y allegará su trigo en el",", y quemará la paja en fuego que nunca se apagará.","Su aventador en su mano está, y aventará su era: y allegará su trigo en el alfolí, y quemará la paja en fuego que nunca se apagará.",granero,medium,Termino agricola arcaico.,,,,
d836a9433c35ebd34279,NT,MAT,3,16,MAT 3:16,he_aqui,7,60,67,he aquí,"Y Jesús, después que fue bautizado, subió luego del agua; y","los cielos le fueron abiertos, y vio al Espíritu de Dios que descendí","Y Jesús, después que fue bautizado, subió luego del agua; y he aquí los cielos le fueron abiertos, y vio al Espíritu de Dios que descendía como paloma, y venía sobre él.",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
edf595aeab684953d8b0,NT,MAT,3,17,MAT 3:17,he_aqui,8,2,9,he aquí,Y,"una voz de los cielos que decía: Este es mi Hijo amado, en el cual te","Y he aquí una voz de los cielos que decía: Este es mi Hijo amado, en el cual tengo contentamiento.",miren,high,Formula biblica; decidir si se conserva en citas solemnes.,,,,
