row_id,testament,book,chapter,verse,reference,term_id,occurrence_index,start,end,matched,before,after,verse_text,suggestion,risk,term_note,reviewer,decision,replacement,notes
4a853c4863c39b1fb612,OT,GEN,1,11,GEN 1:11,simiente,1,60,68,simiente,"Y dijo Dios: Produzca la tierra hierba verde, hierba que dé","; árbol de fruto que dé fruto según su género, que su simiente esté en","Y dijo Dios: Produzca la tierra hierba verde, hierba que dé simiente; árbol de fruto que dé fruto según su género, que su simiente esté en él, sobre la tierra: y fue así.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
cda6d90acdf32b7c9764,OT,GEN,1,11,GEN 1:11,simiente,2,122,130,simiente,"que dé simiente; árbol de fruto que dé fruto según su género, que su","esté en él, sobre la tierra: y fue así.","Y dijo Dios: Produzca la tierra hierba verde, hierba que dé simiente; árbol de fruto que dé fruto según su género, que su simiente esté en él, sobre la tierra: y fue así.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
77d43a7e960d0c836093,OT,GEN,1,12,GEN 1:12,simiente,3,48,56,simiente,"Y produjo la tierra hierba verde, hierba que da","según su naturaleza, y árbol que da fruto, cuya simiente está en él,","Y produjo la tierra hierba verde, hierba que da simiente según su naturaleza, y árbol que da fruto, cuya simiente está en él, según su género: y vio Dios que era bueno.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
d885f7b24162564490e1,OT,GEN,1,12,GEN 1:12,simiente,4,105,113,simiente,"ierba que da simiente según su naturaleza, y árbol que da fruto, cuya","está en él, según su género: y vio Dios que era bueno.","Y produjo la tierra hierba verde, hierba que da simiente según su naturaleza, y árbol que da fruto, cuya simiente está en él, según su género: y vio Dios que era bueno.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
21266d77ad0db5966cc7,OT,GEN,1,29,GEN 1:29,simiente,5,56,64,simiente,Y dijo Dios: He aquí que les he dado toda hierba que da,", que está sobre la haz de toda la tierra; y todo árbol en que hay fru","Y dijo Dios: He aquí que les he dado toda hierba que da simiente, que está sobre la haz de toda la tierra; y todo árbol en que hay fruto de árbol que da simiente, serles ha para comer.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
df4197e6e468c35a2a6f,OT,GEN,1,29,GEN 1:29,simiente,6,153,161,simiente,haz de toda la tierra; y todo árbol en que hay fruto de árbol que da,", serles ha para comer.","Y dijo Dios: He aquí que les he dado toda hierba que da simiente, que está sobre la haz de toda la tierra; y todo árbol en que hay fruto de árbol que da simiente, serles ha para comer.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
5b39fbeb031940666156,OT,GEN,2,5,GEN 2:5,fuese,1,34,39,fuese,Y toda planta del campo antes que,"en la tierra, y toda hierba del campo antes que naciese: porque aun n","Y toda planta del campo antes que fuese en la tierra, y toda hierba del campo antes que naciese: porque aun no había Jehová Dios hecho llover sobre la tierra, ni había hombre para que labrase la tierra;",se fue,medium,Puede requerir ajustar la frase completa.,,,,
1cd3a728879d94a44ac3,OT,GEN,3,11,GEN 3:11,dijole,1,2,8,díjole,Y,: ¿Quién te enseñó que estabas desnudo? ¿Has comido del árbol de que y,Y díjole: ¿Quién te enseñó que estabas desnudo? ¿Has comido del árbol de que yo te mandé no comieses?,le dijo,low,Forma enclitica arcaica.,Codex-assisted,replace,le dijo,Modernización de forma enclítica arcaica.
beafba434f335f36a685,OT,GEN,3,15,GEN 3:15,simiente,7,51,59,simiente,"Y enemistad pondré entre ti y la mujer, y entre tu","y la simiente suya; ésta te herirá en la cabeza, y tú le herirás en e","Y enemistad pondré entre ti y la mujer, y entre tu simiente y la simiente suya; ésta te herirá en la cabeza, y tú le herirás en el calcañar.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
7fb6e5f58cee26e63602,OT,GEN,3,15,GEN 3:15,simiente,8,65,73,simiente,"Y enemistad pondré entre ti y la mujer, y entre tu simiente y la","suya; ésta te herirá en la cabeza, y tú le herirás en el calcañar.","Y enemistad pondré entre ti y la mujer, y entre tu simiente y la simiente suya; ésta te herirá en la cabeza, y tú le herirás en el calcañar.",descendencia,high,Termino teologico; revisar promesas y genealogias.,,,,
