row_id,reference,step_index,verse_text,strong,morphology,step_gloss,reviewer,decision,target_segment_index,notes
9d245416df513a825fed,GEN 5:12,5,"Y vivió Cainán setenta años, y engendró a Mahalaleel.",H853,HTo,<obj.>,,,,
088b59a8d10cdbac1db8,GEN 5:13,4,"Y vivió Cainán, después que engendró a Mahalaleel, ochocientos y cuarenta años: y engendró hijos e hijas.",H853,HTo,<obj.>,,,,
268c0d51380d3e5f2b53,GEN 5:13,10,"Y vivió Cainán, después que engendró a Mahalaleel, ochocientos y cuarenta años: y engendró hijos e hijas.",H8141,HNcfsa,year[s],,,,
febbe448355b1f5a391b,GEN 5:14,8,Y fueron todos los días de Cainán novecientos y diez años; y murió.,H8141,HNcfsa,year[s],,,,
6d23dc55cb9484af87dd,GEN 5:15,5,"Y vivió Mahalaleel sesenta y cinco años, y engendró a Jared.",H8141,HNcfsa,year[s],,,,
34edcc01db5e9a4b6abd,GEN 5:15,7,"Y vivió Mahalaleel sesenta y cinco años, y engendró a Jared.",H853,HTo,<obj.>,,,,
7ea8f4c8f8c043169d33,GEN 5:16,4,"Y vivió Mahalaleel, después que engendró a Jared, ochocientos y treinta años: y engendró hijos e hijas.",H853,HTo,<obj.>,,,,
8dfcd1b6fb697c0d1e5c,GEN 5:16,10,"Y vivió Mahalaleel, después que engendró a Jared, ochocientos y treinta años: y engendró hijos e hijas.",H8141,HNcfsa,year[s],,,,
ad22ac60aa17795e4603,GEN 5:17,9,Y fueron todos los días de Mahalaleel ochocientos noventa y cinco años; y murió.,H8141,HNcfsa,year[s],,,,
393f67704b7d9fae4517,GEN 5:18,6,"Y vivió Jared ciento sesenta y dos años, y engendró a Henoch.",H8141,HNcfsa,year[s],,,,
0435b8736e1fbf86bdfe,GEN 5:18,8,"Y vivió Jared ciento sesenta y dos años, y engendró a Henoch.",H853,HTo,<obj.>,,,,
3ea6512cbb1ac6cd16ad,GEN 5:19,4,"Y vivió Jared, después que engendró a Henoch, ochocientos años: y engendró hijos e hijas.",H853,HTo,<obj.>,,,,
181493103c7aa746df43,GEN 5:20,9,Y fueron todos los días de Jared novecientos sesenta y dos años; y murió.,H8141,HNcfsa,year[s],,,,
a1a90e62c140e4d74df6,GEN 5:21,6,"Y vivió Henoch sesenta y cinco años, y engendró a Mathusalam.",H853,HTo,<obj.>,,,,
212dbe182e7ab0786879,GEN 5:22,2,"Y caminó Henoch con Dios, después que engendró a Mathusalam, trescientos años: y engendró hijos e hijas.",H854,HR,with,,,,
0f11e8f47505867deb03,GEN 5:23,9,Y fueron todos los días de Henoch trescientos sesenta y cinco años.,H8141,HNcfsa,year[s],,,,
acb7d6f74fcc792e77a9,GEN 5:24,2,"Caminó, pues, Henoch con Dios, y desapareció, porque le llevó Dios.",H854,HR,with,,,,
7a424a28f4d2ebfa2242,GEN 5:25,6,"Y vivió Mathusalam ciento ochenta y siete años, y engendró a Lamech.",H8141,HNcfsa,year[s],,,,
f8e7a135268fe4406fdb,GEN 5:25,8,"Y vivió Mathusalam ciento ochenta y siete años, y engendró a Lamech.",H853,HTo,<obj.>,,,,
f726e0abf5f6b2ac1eae,GEN 5:26,4,"Y vivió Mathusalam, después que engendró a Lamech, setecientos ochenta y dos años: y engendró hijos e hijas.",H853,HTo,<obj.>,,,,
323d58a00dca3fb026fc,GEN 5:26,11,"Y vivió Mathusalam, después que engendró a Lamech, setecientos ochenta y dos años: y engendró hijos e hijas.",H8141,HNcfsa,year[s],,,,
107fc275252da29a3245,GEN 5:27,9,"Fueron, pues, todos los días de Mathusalam, novecientos sesenta y nueve años; y murió.",H8141,HNcfsa,year[s],,,,
da2f1968491afcfb73ca,GEN 5:28,6,"Y vivió Lamech ciento ochenta y dos años, y engendró un hijo:",H8141,HNcfsa,year[s],,,,
6e13a0015a0a6fd7701a,GEN 5:29,1,"Y llamó su nombre Noé, diciendo: Este nos aliviará de nuestras obras, y del trabajo de nuestras manos, a causa de la tierra que Jehová maldijo.",H853,HTo,<obj.>,,,,
be9f9c52da4f5e36af97,GEN 5:30,4,"Y vivió Lamech, después que engendró a Noé, quinientos noventa y cinco años: y engendró hijos e hijas.",H853,HTo,<obj.>,,,,
4ad572e3f3147c598bd9,GEN 5:30,11,"Y vivió Lamech, después que engendró a Noé, quinientos noventa y cinco años: y engendró hijos e hijas.",H8141,HNcfsa,year[s],,,,
fe8963bc5e586e1d37a5,GEN 5:31,9,Y fueron todos los días de Lamech setecientos setenta y siete años; y murió.,H8141,HNcfsa,year[s],,,,
3ae201bd550f13a2f831,GEN 5:32,2,"Y siendo Noé de quinientos años, engendró a Sem, Châm, y a Japhet.",H1121,HNcmsc,a son of,,,,
ecb7df5859274c9ffd07,GEN 5:32,7,"Y siendo Noé de quinientos años, engendró a Sem, Châm, y a Japhet.",H5146,HNpm,Noah,,,,
290eac9e00087a9defb9,GEN 5:32,8,"Y siendo Noé de quinientos años, engendró a Sem, Châm, y a Japhet.",H853,HTo,<obj.>,,,,
8b6dbc5f19685d031ea8,GEN 5:32,10,"Y siendo Noé de quinientos años, engendró a Sem, Châm, y a Japhet.",H853,HTo,<obj.>,,,,
5ad32d3d314bb9119095,GEN 5:32,12,"Y siendo Noé de quinientos años, engendró a Sem, Châm, y a Japhet.",H853,HC/To,and/ <obj.>,,,,
88a649615efe2f1cd3ab,GEN 6:2,3,"Viendo los hijos de Dios que las hijas de los hombres eran hermosas, tomáronse mujeres, escogiendo entre todas.",H853,HTo,<obj.>,,,,
7ae86f34ac160b4c549e,GEN 6:2,6,"Viendo los hijos de Dios que las hijas de los hombres eran hermosas, tomáronse mujeres, escogiendo entre todas.",H3588,HTc,that,,,,
778488fb3d65c5170384,GEN 6:2,8,"Viendo los hijos de Dios que las hijas de los hombres eran hermosas, tomáronse mujeres, escogiendo entre todas.",H2007,HPp3fp,they,,,,
bbcd0387879407337845,GEN 6:2,12,"Viendo los hijos de Dios que las hijas de los hombres eran hermosas, tomáronse mujeres, escogiendo entre todas.",H834,HTr,whom,,,,
ce76fb230c9a3c75d4a1,GEN 6:4,9,"Había gigantes en la tierra en aquellos días, y también después que entraron los hijos de Dios a las hijas de los hombres, y les engendraron hijos: éstos fueron los valientes que desde la antigüedad fueron varones de nombre.",H935,HVqi3mp,they went,,,,
1fc05c9a7bd4b17e3a46,GEN 6:4,12,"Había gigantes en la tierra en aquellos días, y también después que entraron los hijos de Dios a las hijas de los hombres, y les engendraron hijos: éstos fueron los valientes que desde la antigüedad fueron varones de nombre.",H413,HR,into,,,,
5b2ba76a0028e3735608,GEN 6:5,13,"Y vio Jehová que la malicia de los hombres era mucha en la tierra, y que todo designio de los pensamientos del corazón de ellos era de continuo solamente el mal.",H3605,HNcmsc,every,,,,
5cac5c0f075245735521,GEN 6:6,4,"Y arrepintióse Jehová de haber hecho hombre en la tierra, y pesóle en su corazón.",H853,HTo,<obj.>,,,,
8e011b103d6dbbe42c04,GEN 6:7,3,"Y dijo Jehová: Raeré los hombres que he criado de sobre la faz de la tierra, desde el hombre hasta la bestia, y hasta el reptil y las aves del cielo: porque me arrepiento de haberlos hecho.",H853,HTo,<obj.>,,,,
274269aeef4b88321ab8,GEN 6:7,15,"Y dijo Jehová: Raeré los hombres que he criado de sobre la faz de la tierra, desde el hombre hasta la bestia, y hasta el reptil y las aves del cielo: porque me arrepiento de haberlos hecho.",H5704,HC/R,and/ unto,,,,
7ea868611263692fcaf3,GEN 6:7,20,"Y dijo Jehová: Raeré los hombres que he criado de sobre la faz de la tierra, desde el hombre hasta la bestia, y hasta el reptil y las aves del cielo: porque me arrepiento de haberlos hecho.",H3588,HTc,that,,,,
ee5ddf837adc7d28f2cd,GEN 6:10,4,"Y engendró Noé tres hijos: a Sem, a Châm, y a Japhet.",H853,HTo,<obj.>,,,,
55693502e060dca5ddb2,GEN 6:10,6,"Y engendró Noé tres hijos: a Sem, a Châm, y a Japhet.",H853,HTo,<obj.>,,,,
3eff48eaca47d42e886f,GEN 6:10,8,"Y engendró Noé tres hijos: a Sem, a Châm, y a Japhet.",H853,HC/To,and/ <obj.>,,,,
85b52c32833215ed4ea3,GEN 6:12,2,"Y miró Dios la tierra, y he aquí que estaba corrompida; porque toda carne había corrompido su camino sobre la tierra.",H853,HTo,<obj.>,,,,
2aff3969e73ca69cd7fe,GEN 6:12,10,"Y miró Dios la tierra, y he aquí que estaba corrompida; porque toda carne había corrompido su camino sobre la tierra.",H853,HTo,<obj.>,,,,
6038afb06385c0c5a9b9,GEN 6:13,7,Y dijo Dios a Noé: El fin de toda carne ha venido delante de mí; porque la tierra está llena de violencia a causa de ellos; y he aquí que yo los destruiré con la tierra.,H6440,HR/Ncmpc/Sp1bs,<to>/ before/ me,,,,
3055055ba19df7a88538,GEN 6:13,12,Y dijo Dios a Noé: El fin de toda carne ha venido delante de mí; porque la tierra está llena de violencia a causa de ellos; y he aquí que yo los destruiré con la tierra.,H6440,HR/Ncmpc/Sp3mp,<from>/ because of/ them,,,,
e8083a30b6030cabcb39,GEN 6:13,13,Y dijo Dios a Noé: El fin de toda carne ha venido delante de mí; porque la tierra está llena de violencia a causa de ellos; y he aquí que yo los destruiré con la tierra.,H2005,HC/Tj/Sp1bs,and/ here [am]/ I,,,,
f82b48b7c7c425215994,GEN 6:13,15,Y dijo Dios a Noé: El fin de toda carne ha venido delante de mí; porque la tierra está llena de violencia a causa de ellos; y he aquí que yo los destruiré con la tierra.,H854,HR,with,,,,
714251844e61225c9844,GEN 6:14,6,"Hazte un arca de madera de Gopher: harás aposentos en el arca, y la embetunarás con brea por dentro y por fuera.",H853,HTo,<obj.>,,,,
2953b70d211720829b73,GEN 6:14,9,"Hazte un arca de madera de Gopher: harás aposentos en el arca, y la embetunarás con brea por dentro y por fuera.",H853,HTo/Sp3fs,<obj.>/ it,,,,
fb02d87019746c996580,GEN 6:14,12,"Hazte un arca de madera de Gopher: harás aposentos en el arca, y la embetunarás con brea por dentro y por fuera.",H3724,HRd/Ncmsa,with <the>/ pitch,,,,
7bfaec2ffb0833617bb5,GEN 6:15,3,"Y de esta manera la harás: de trescientos codos la longitud del arca, de cincuenta codos su anchura, y de treinta codos su altura.",H853,HTo/Sp3fs,<obj.>/ it,,,,
e81c32589d183ddaa71e,GEN 6:16,3,"Una ventana harás al arca, y la acabarás a un codo de elevación por la parte de arriba: y pondrás la puerta del arca a su lado; y le harás piso bajo, segundo y tercero.",H413,HC/R,and/ to,,,,
4af76e76d6d28a7350c8,GEN 6:17,1,"Y yo, he aquí que yo traigo un diluvio de aguas sobre la tierra, para destruir toda carne en que haya espíritu de vida debajo del cielo; todo lo que hay en la tierra morirá.",H2009,HTj/Sp1bs,here/ I,,,,
9158c2475bb7b02eadfe,GEN 6:17,3,"Y yo, he aquí que yo traigo un diluvio de aguas sobre la tierra, para destruir toda carne en que haya espíritu de vida debajo del cielo; todo lo que hay en la tierra morirá.",H853,HTo,<obj.>,,,,
f1ab5d9bacbc36ea14c1,GEN 6:18,1,"Pero estableceré mi pacto contigo, y entrarás en el arca tú, y tus hijos y tu mujer, y las mujeres de tus hijos contigo.",H853,HTo,<obj.>,,,,
9c9fd3f4d985078d8c7a,GEN 6:21,6,"Y toma contigo de toda vianda que se come, y allégala a ti; servirá de alimento para ti y para ellos.",H622,Hc/Vqq2ms,and/ you will gather [it],,,,
6d953b88922447eb8762,GEN 6:21,9,"Y toma contigo de toda vianda que se come, y allégala a ti; servirá de alimento para ti y para ellos.",H402,HR/Ncfsa,<into>/ food,,,,
