row_id,reference,segment_index,code_index,verse_text,word,strong,morphology,step_gloss,status,confidence,reviewer,decision,corrected_strong,notes
5e4565df2e90db3c0949,GEN 1:1,2,0,En el principio creó Dios los cielos y la tierra.,principio,H7225,HR/Ncfsa,in/ beginning,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: principio; confirmada por STEPBible y léxico Strong.
b8bb149fb69c0ac77bc5,GEN 1:1,3,0,En el principio creó Dios los cielos y la tierra.,creó,H1254,HVqp3ms,he created,editorial-reviewed,1.0,,,,
70840ffebf89d2c2dc4a,GEN 1:1,4,0,En el principio creó Dios los cielos y la tierra.,Dios,H430,HNcmpa,God,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: Dios; confirmada por STEPBible y léxico Strong.
dcb80fc714ff3df3cf3d,GEN 1:1,6,0,En el principio creó Dios los cielos y la tierra.,cielos,H8064,HTd/Ncmpa,the/ heavens,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: cielos; confirmada por STEPBible y léxico Strong.
09d3ea5fa37d5e493d64,GEN 1:1,9,0,En el principio creó Dios los cielos y la tierra.,tierra.,H776,HTd/Ncfsa,the/ earth,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: tierra; confirmada por STEPBible y léxico Strong.
bbac87f1b5bfa0de4d50,GEN 1:2,2,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",tierra,H776,HC/Td/Ncfsa,and/ the/ earth,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: tierra.
e06405c5674b8525a584,GEN 1:2,3,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",estaba,H1961,HVqp3fs,<it> was,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia verbal directa: estaba.
1c13907f06b9da9fbf0b,GEN 1:2,4,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",desordenada,H8414,HNcmsa,formlessness,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia léxica directa: desordenada/sin forma.
6cd6dfcc3ca3eee819c3,GEN 1:2,6,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.","vacía,",H922,HC/Ncmsa,and/ emptiness,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia léxica directa: vacía.
c2bd56c5a7a8a2bef051,GEN 1:2,9,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",tinieblas,H2822,HC/Ncmsa,and/ darkness,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: tinieblas.
c36f1a494d081dbe21a5,GEN 1:2,11,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",sobre,H5921,HR,[was] over,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia preposicional directa: sobre.
3832c9dade71ee7471e5,GEN 1:2,13,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",haz,H6440,HNcmpc,[the] surface of,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia contextual directa: haz/superficie.
81b28386fe3d0d22d762,GEN 1:2,15,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.","abismo,",H8415,HNcfsa,[the] deep,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: abismo.
3ef04ce1ca27affbe8dd,GEN 1:2,18,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",Espíritu,H7307,HC/Ncfsc,and/ [the] spirit of,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: Espíritu.
ad8188e2179168043054,GEN 1:2,20,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",Dios,H430,HNcmpa,God,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia directa: Dios.
806e929b2d37ad6ed51f,GEN 1:2,22,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",movía,H7363,HVprfsa,[was] hovering,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia verbal directa: movía/se cernía.
56c81411505948885ea3,GEN 1:2,23,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",sobre,H5921,HR,over,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia preposicional directa: sobre.
0a9406edf407b1051d56,GEN 1:2,25,0,"Y la tierra estaba desordenada y vacía, y las tinieblas estaban sobre la haz del abismo, y el Espíritu de Dios se movía sobre la haz de las aguas.",haz,H6440,HNcmpc,[the] surface of,editorial-reviewed,1.0,Codex-assisted,approve,,Correspondencia contextual directa: haz/superficie.
